iter	RMSE
351	58.78985391
352	58.77987843
353	58.77506919
354	58.77133989
355	58.76925823
356	58.75210292
357	58.73592112
358	58.73026871
359	58.72727139
360	58.72446264
361	58.72006225
362	58.71030605
363	58.69573181
364	58.68342563
365	58.68120492
366	58.67160015
367	58.66749232
368	58.66508314
369	58.65988012
370	58.65355698
371	58.64064854
372	58.63575052
373	58.6255402
374	58.6201868
375	58.61848188
376	58.61343319
377	58.60827388
378	58.60719161
379	58.60442063
380	58.59468809
381	58.58950357
382	58.58763421
383	58.5809012
384	58.57879813
385	58.56956182
386	58.55570764
387	58.55049388
388	58.54473766
389	58.53595586
390	58.53352799
391	58.53257881
392	58.52752138
393	58.51511723
394	58.50418223
395	58.49987403
396	58.49765222
397	58.4963712
398	58.48723459
399	58.48332698
400	58.47134388
401	58.4681163
402	58.45680112
403	58.45238521
404	58.44776205
405	58.44073632
406	58.43770154
407	58.43314565
408	58.42248008
409	58.41393317
410	58.41183228
411	58.4079303
412	58.40370417
413	58.39983004
414	58.38954641
415	58.38683178
416	58.38318542
417	58.37398388
418	58.36913019
419	58.35866403
420	58.3543151
421	58.34608606
422	58.34449795
423	58.33674419
424	58.32905432
425	58.32570126
426	58.32235873
427	58.3188146
428	58.31102315
429	58.30358584
430	58.29941422
431	58.28901304
432	58.27927521
433	58.27186958
434	58.26202771
435	58.25830863
436	58.25716859
437	58.24985986
438	58.23757677
439	58.23574471
440	58.2289961
441	58.22421726
442	58.21670489
443	58.21245419
444	58.21134228
445	58.20460867
446	58.19599058
447	58.19494435
448	58.193961
449	58.19229719
450	58.18067799
451	58.17717382
452	58.17581841
453	58.16648506
454	58.16343881
455	58.16045287
456	58.1572652
457	58.15068888
458	58.14671075
459	58.14513523
460	58.14398502
461	58.14308195
462	58.13978369
463	58.12911502
464	58.12626274
465	58.12542799
466	58.1177949
467	58.11185292
468	58.10237806
469	58.10157499
470	58.09846941
471	58.08663943
472	58.07662097
473	58.07369761
474	58.06811583
475	58.06546037
476	58.06278956
477	58.06077065
478	58.05218337
479	58.04841523
480	58.04476791
481	58.03649594
482	58.03023685
483	58.02235928
484	58.02128221
485	58.01784939
486	58.01708865
487	58.00966754
488	58.00411721
489	58.00113188
490	57.99379818
491	57.9849305
492	57.97565478
493	57.9692598
494	57.9673626
495	57.96454747
496	57.95512375
497	57.95212244
498	57.9463183
499	57.93875121
500	57.93370436
501	57.92827853
502	57.9228326
503	57.9177248
504	57.90898976
505	57.90797916
506	57.90242068
507	57.8965597
508	57.89321794
509	57.887261
510	57.88344224
511	57.8756148
512	57.87299162
513	57.87230102
514	57.86911827
515	57.86678812
516	57.86244732
517	57.86150169
518	57.85556167
519	57.84864379
520	57.84384628
521	57.84296143
522	57.84054388
523	57.8395775
524	57.83219758
525	57.82592752
526	57.82351856
527	57.8182742
528	57.80805557
529	57.80265272
530	57.80061344
531	57.79999624
532	57.79829139
533	57.79696524
534	57.79510793
535	57.78988018
536	57.78176226
537	57.7795706
538	57.77591077
539	57.76960075
540	57.76787609
541	57.76312098
542	57.76031753
543	57.75094033
544	57.74331384
545	57.73839175
546	57.73278623
547	57.73099253
548	57.72541514
549	57.72481992
550	57.72426033
551	57.72200815
552	57.7198178
553	57.71460701
554	57.70744395
555	57.70634636
556	57.69962084
557	57.69535677
558	57.69306263
559	57.69203936
560	57.6857225
561	57.68374793
562	57.67967591
563	57.67502635
564	57.67237148
565	57.66813042
566	57.66761041
567	57.66583098
568	57.65989641
569	57.65522845
570	57.65041999
571	57.6459218
572	57.64516661
573	57.64079584
574	57.63838233
575	57.63658906
576	57.62881681
577	57.6204512
578	57.61838575
579	57.61571221
580	57.61377847
581	57.60967007
582	57.60896929
583	57.60339135
584	57.59815276
585	57.59512512
586	57.59136095
587	57.58281578
588	57.58101934
589	57.57652163
590	57.56934371
591	57.56728234
592	57.56310666
593	57.56244983
594	57.55752565
595	57.55232152
596	57.54769583
597	57.54588765
598	57.54180248
599	57.53532625
600	57.52794918
601	57.52748929
602	57.52581862
603	57.52412537
604	57.52318629
605	57.51954935
606	57.5160185
607	57.51294667
608	57.50922708
609	57.50289156
610	57.4975908
611	57.49324247
612	57.48915776
613	57.48415768
614	57.48178249
615	57.47593529
616	57.47000901
617	57.46928673
618	57.46863781
619	57.46513878
620	57.45997301
621	57.45676676
622	57.45288718
623	57.44816917
624	57.44594834
625	57.44200548
626	57.44044691
627	57.4336976
628	57.43228201
629	57.42783133
630	57.42440549
631	57.42254703
632	57.4210624
633	57.41652454
634	57.4110003
635	57.41004869
636	57.40710945
637	57.40560064
638	57.40154115
639	57.39980714
640	57.39615774
641	57.38670932
642	57.3853041
643	57.38008282
644	57.3765166
645	57.37335142
646	57.37096509
647	57.36993219
648	57.36670106
649	57.36041755
650	57.35910836
651	57.35872873
652	57.35781591
653	57.35571289
654	57.35491335
655	57.35369724
656	57.35150155
657	57.34855554
658	57.34553863
659	57.34388222
660	57.34109841
661	57.33838726
662	57.33564557
663	57.33405879
664	57.33054631
665	57.32745618
666	57.32166493
667	57.31807212
668	57.31393037
669	57.31106817
670	57.30959341
671	57.30465397
672	57.30237346
673	57.29963094
674	57.29933084
675	57.29663909
676	57.2954119
677	57.29117956
678	57.28963298
679	57.2848167
680	57.28428731
681	57.28315139
682	57.27919232
683	57.27832607
684	57.27505661
685	57.27242479
686	57.27166006
687	57.26497222
688	57.26085348
689	57.25941927
690	57.25910442
691	57.25646171
692	57.25341747
693	57.24806773
694	57.24452052
695	57.23994095
696	57.23875743
697	57.23749419
698	57.23059782
699	57.22713294
700	57.22519861
701	57.22445199
702	57.22310817
703	57.22015392
704	57.21547743
705	57.21222634
706	57.20857959
707	57.20583246
708	57.2032164
709	57.19955285
710	57.19479786
711	57.19063761
712	57.18720826
713	57.18618343
714	57.18517893
715	57.1830281
716	57.18058571
717	57.17808743
718	57.17578477
719	57.17434059
720	57.17311612
721	57.17109416
722	57.16988766
723	57.16875684
724	57.16763443
725	57.16738885
726	57.1667085
727	57.1636753
728	57.16338928
729	57.16122462
730	57.15731995
731	57.15327698
732	57.14978577
733	57.14755074
734	57.14381119
735	57.142292
736	57.14024021
737	57.13919882
738	57.13893531
739	57.13807423
740	57.1361614
741	57.13591348
742	57.13163537
743	57.12854047
744	57.1278643
745	57.1259365
746	57.12391382
747	57.12051583
748	57.11536948
749	57.10731729
750	57.10639254
751	57.10615922
752	57.1055618
753	57.10494222
754	57.10250347
755	57.09960388
756	57.09859905
757	57.09756781
758	57.09483626
759	57.09391298
760	57.09343691
761	57.08606547
762	57.07913633
763	57.07837807
764	57.07558258
765	57.07411939
766	57.07255731
767	57.07084808
768	57.0698067
769	57.06899698
770	57.06815502
771	57.06559092
772	57.06281831
773	57.05981187
774	57.05763041
775	57.05465239
776	57.04946065
777	57.0479023
778	57.04544662
779	57.04464757
780	57.04158927
781	57.03760343
782	57.03585438
783	57.03342502
784	57.03111863
785	57.0278241
786	57.02602536
787	57.02440983
788	57.02142024
789	57.02103636
790	57.01673408
791	57.01600504
792	57.01412066
793	57.01146193
794	57.01100031
795	57.00926173
796	57.00882738
797	57.00719123
798	57.00317996
799	57.00082339
800	56.99880448
801	56.99658985
802	56.99420217
803	56.99230543
804	56.99210077
805	56.98985118
806	56.98679642
807	56.98039404
808	56.97944428
809	56.97612621
810	56.97435786
811	56.97291126
812	56.9722351
813	56.97057366
814	56.96950828
815	56.96573512
816	56.96301345
817	56.96100511
818	56.95740601
819	56.95446148
820	56.9527956
821	56.94935806
822	56.94900336
823	56.94643547
824	56.94624264
825	56.94414762
826	56.94333455
827	56.94268861
828	56.93945133
829	56.93917125
830	56.93841476
831	56.93471411
832	56.93440001
833	56.93231443
834	56.93016188
835	56.92857315
836	56.92691656
837	56.92638381
838	56.92427376
839	56.92400987
840	56.92338562
841	56.92010673
842	56.91995323
843	56.91698129
844	56.9155054
845	56.91395482
846	56.91366917
847	56.91273223
848	56.9111306
849	56.91045525
850	56.90908698
851	56.90736576
852	56.90720112
853	56.90380201
854	56.90019111
855	56.89873346
856	56.89710899
857	56.89514389
858	56.89196901
859	56.89160143
860	56.890548
861	56.88943695
862	56.88789311
863	56.88725525
864	56.88427693
865	56.8832964
866	56.88161618
867	56.88003259
868	56.87896943
869	56.87559902
870	56.8742921
871	56.87233247
872	56.87152287
873	56.87101597
874	56.86916689
875	56.86903825
876	56.86766683
877	56.86708133
878	56.86533678
879	56.86371891
880	56.86031931
881	56.85913746
882	56.85617681
883	56.85379644
884	56.85100666
885	56.85003054
886	56.84975404
887	56.84882926
888	56.84848391
889	56.8470491
890	56.84668417
891	56.84587284
892	56.84464047
893	56.84301244
894	56.84167448
895	56.84076575
896	56.83734961
897	56.83589468
898	56.83561326
899	56.83275981
900	56.8326414
901	56.83199182
902	56.8288055
903	56.82870117
904	56.82815521
905	56.82501567
906	56.82272282
907	56.82197504
908	56.82030695
909	56.81897626
910	56.81869899
911	56.81740776
912	56.81642484
913	56.81516822
914	56.81361237
915	56.81137709
916	56.81067558
917	56.80917179
918	56.80705379
919	56.80582432
920	56.80076164
921	56.79854522
922	56.79829578
923	56.7961639
924	56.79420496
925	56.7928897
926	56.79113801
927	56.79087268
928	56.78654637
929	56.78497654
930	56.78357723
931	56.78037871
932	56.77909809
933	56.7772555
934	56.77638212
935	56.77523328
936	56.77496488
937	56.77325004
938	56.77216855
939	56.77137722
940	56.77029235
941	56.76992223
942	56.76747165
943	56.76609125
944	56.76433877
945	56.76125914
946	56.76051258
947	56.76012761
948	56.7584883
949	56.75729328
950	56.75429644
951	56.75321619
952	56.75296129
953	56.75178075
954	56.7493232
955	56.74765344
956	56.74613265
957	56.74381716
958	56.7424077
959	56.73959893
960	56.73824331
961	56.73607362
962	56.73446534
963	56.73377902
964	56.73249954
965	56.73083353
966	56.72951383
967	56.72797497
968	56.72745248
969	56.72641158
970	56.72529522
971	56.72426457
972	56.72305871
973	56.72256959
974	56.72234831
975	56.72031372
976	56.71612912
977	56.7148406
978	56.71357608
979	56.7120261
980	56.7108961
981	56.70992534
982	56.70879857
983	56.70761317
984	56.70598501
985	56.70493469
986	56.70352198
987	56.70286181
988	56.70151706
989	56.69956446
990	56.69851133
991	56.69696385
992	56.69581389
993	56.69491745
994	56.692768
995	56.69267897
996	56.69201432
997	56.69121368
998	56.69075143
999	56.69057185
5
